,Date :,9/27/2021 12:49,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Sound 1, 0:02:00.000,30,3600,900,,,,,,,,
,Sound 2, 0:04:02.000,30,7260,900,,,,,,,,
,Sound 3, 0:06:04.000,30,10920,900,,,,,,,,
,Shock 1, 0:02:30.000,2,4500,60,,,,,,,,
,Shock 2, 0:04:32.000,2,8160,60,,,,,,,,
,Shock 3, 0:06:34.000,2,11820,60,,,,,,,,
,,,,,,,,,,,,,
Animal_ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
210906_9,VF092721_110519,day0_trial5,Chamber1,,,Sound 1,9,6.167,1.2,20.56,72.04,0,1060
210906_9,VF092721_110519,day0_trial5,Chamber1,,,Sound 2,12,9.533,1.85,31.78,24.14,0,308
210906_9,VF092721_110519,day0_trial5,Chamber1,,,Sound 3,14,19.433,3.77,64.78,17.13,0,262
210906_9,VF092721_110519,day0_trial5,Chamber1,,,Shock 1,0,0,0,0,453.93,5,2180
210906_9,VF092721_110519,day0_trial5,Chamber1,,,Shock 2,0,0,0,0,669.75,0,3301
210906_9,VF092721_110519,day0_trial5,Chamber1,,,Shock 3,0,0,0,0,286.03,0,1012
,,,,,,,,,,,,,
210906_10,VF092721_110519,day0_trial5,Chamber 2,,,Sound 1,2,0.767,0.15,2.56,189.69,0,1470
210906_10,VF092721_110519,day0_trial5,Chamber 2,,,Sound 2,6,20.667,4.01,68.89,25.52,0,613
210906_10,VF092721_110519,day0_trial5,Chamber 2,,,Sound 3,7,26.733,5.18,89.11,5.78,0,277
210906_10,VF092721_110519,day0_trial5,Chamber 2,,,Shock 1,0,0,0,0,1009.47,48,2796
210906_10,VF092721_110519,day0_trial5,Chamber 2,,,Shock 2,0,0,0,0,854.42,0,2170
210906_10,VF092721_110519,day0_trial5,Chamber 2,,,Shock 3,0,0,0,0,857.38,0,2260
,,,,,,,,,,,,,
210906_11,VF092721_111823,day0_trial6,Chamber1,,,Sound 1,4,3.467,0.67,11.56,91.54,0,851
210906_11,VF092721_111823,day0_trial6,Chamber1,,,Sound 2,3,2.467,0.48,8.22,91.13,0,800
210906_11,VF092721_111823,day0_trial6,Chamber1,,,Sound 3,15,12.333,2.39,41.11,22.03,0,244
210906_11,VF092721_111823,day0_trial6,Chamber1,,,Shock 1,0,0,0,0,461.4,0,2212
210906_11,VF092721_111823,day0_trial6,Chamber1,,,Shock 2,0,0,0,0,480.48,0,2393
210906_11,VF092721_111823,day0_trial6,Chamber1,,,Shock 3,0,0,0,0,352.6,0,2006
,,,,,,,,,,,,,
210906_12,VF092721_111823,day0_trial6,Chamber 2,,,Sound 1,1,0.4,0.08,1.33,368.12,0,2041
