,Date :,5/27/2021 16:59,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Day2_Acclimation, 0:00:00.000,180,0,5400,,,,,,,,
,Day2_CSTone, 0:03:00.000,360,5400,10800,,,,,,,,
,Day2_Exploration, 0:06:00.000,450,10800,13500,,,,,,,,
,,,,,,,,,,,,,
Animal ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
201012-17,VF020321_121247,day2_8,Chamber 2,,,Day2_Acclimation,3,179.8,39.96,99.89,0.27,0,19
201012-17,VF020321_121247,day2_8,Chamber 2,,,Day2_CSTone,1,270,60,75,0.08,0,14
201012-17,VF020321_121247,day2_8,Chamber 2,,,Day2_Exploration,1,90,20,20,0.09,0,14
,,,,,,,,,,,,,
201012-18,VF020321_123229,day2_9,Chamber1,,,Day2_Acclimation,29,176.4,39.2,98,1.14,0,35
201012-18,VF020321_123229,day2_9,Chamber1,,,Day2_CSTone,22,267.367,59.41,74.27,0.47,0,51
201012-18,VF020321_123229,day2_9,Chamber1,,,Day2_Exploration,16,87.667,19.48,19.48,0.95,0,51
,,,,,,,,,,,,,
201012-19,VF020321_123229,day2_9,Chamber 2,,,Day2_Acclimation,8,179.633,39.92,99.8,0.54,0,21
201012-19,VF020321_123229,day2_9,Chamber 2,,,Day2_CSTone,6,269.833,59.96,74.95,0.19,0,24
201012-19,VF020321_123229,day2_9,Chamber 2,,,Day2_Exploration,5,89.867,19.97,19.97,0.38,0,24
,,,,,,,,,,,,,
201012-20,VF020321_124706,day2_10,Chamber1,,,Day2_Acclimation,31,177.4,39.42,98.56,0.92,0,30
201012-20,VF020321_124706,day2_10,Chamber1,,,Day2_CSTone,7,269.8,59.96,74.94,0.21,0,23
201012-20,VF020321_124706,day2_10,Chamber1,,,Day2_Exploration,2,89.967,19.99,19.99,0.28,0,20
,,,,,,,,,,,,,
201012-21,VF020321_124706,day2_10,Chamber 2,,,Day2_Acclimation,2,179.867,39.97,99.93,0.16,0,15
201012-21,VF020321_124706,day2_10,Chamber 2,,,Day2_CSTone,1,270,60,75,0.05,0,10
201012-21,VF020321_124706,day2_10,Chamber 2,,,Day2_Exploration,1,90,20,20,0.11,0,10
,,,,,,,,,,,,,
201012-22,VF020321_125855,day2_11,Chamber1,,,Day2_Acclimation,38,174.333,38.74,96.85,1.21,0,63
201012-22,VF020321_125855,day2_11,Chamber1,,,Day2_CSTone,9,269.567,59.9,74.88,0.24,0,32
201012-22,VF020321_125855,day2_11,Chamber1,,,Day2_Exploration,3,89.867,19.97,19.97,0.14,0,25
,,,,,,,,,,,,,
201012-23,VF020321_125855,day2_11,Chamber 2,,,Day2_Acclimation,3,179.933,39.99,99.96,0.25,0,18
201012-23,VF020321_125855,day2_11,Chamber 2,,,Day2_CSTone,1,270,60,75,0.01,0,4
201012-23,VF020321_125855,day2_11,Chamber 2,,,Day2_Exploration,1,90,20,20,0.03,0,4
,,,,,,,,,,,,,
201012-24,VF020321_131123,day2_12,Chamber1,,,Day2_Acclimation,5,179.7,39.93,99.83,0.17,0,21
201012-24,VF020321_131123,day2_12,Chamber1,,,Day2_CSTone,3,269.933,59.99,74.98,0.09,0,27
201012-24,VF020321_131123,day2_12,Chamber1,,,Day2_Exploration,1,90,20,20,0.03,0,6
,,,,,,,,,,,,,
201012-25,VF020321_131123,day2_12,Chamber 2,,,Day2_Acclimation,1,180,40,100,0.1,0,14
201012-25,VF020321_131123,day2_12,Chamber 2,,,Day2_CSTone,1,270,60,75,0.06,0,11
201012-25,VF020321_131123,day2_12,Chamber 2,,,Day2_Exploration,1,90,20,20,0.06,0,11
,,,,,,,,,,,,,
201012-26,VF020321_132310,day2_13,Chamber1,,,Day2_Acclimation,14,179.433,39.87,99.69,0.48,0,32
201012-26,VF020321_132310,day2_13,Chamber1,,,Day2_CSTone,9,269.7,59.93,74.92,0.21,0,23
201012-26,VF020321_132310,day2_13,Chamber1,,,Day2_Exploration,7,89.767,19.95,19.95,0.36,0,23
,,,,,,,,,,,,,
201012-27,VF020321_132310,day2_13,Chamber 2,,,Day2_Acclimation,8,179.567,39.9,99.76,0.34,0,34
201012-27,VF020321_132310,day2_13,Chamber 2,,,Day2_CSTone,2,269.833,59.96,74.95,0.08,0,27
201012-27,VF020321_132310,day2_13,Chamber 2,,,Day2_Exploration,1,90,20,20,0.09,0,13
