,Date :,5/27/2021 16:53,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Sound 1, 0:02:00.000,30,3600,900,,,,,,,,
,Sound 2, 0:04:02.000,30,7260,900,,,,,,,,
,Sound 3, 0:06:04.000,30,10920,900,,,,,,,,
,Shock 1, 0:02:30.000,2,4500,60,,,,,,,,
,Shock 2, 0:04:32.000,2,8160,60,,,,,,,,
,Shock 3, 0:06:34.000,2,11820,60,,,,,,,,
,,,,,,,,,,,,,
Animal ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
201012-1,VF020121_100740,1,Chamber1,,,Sound 1,1,30,5.81,100,0.16,0,12
201012-1,VF020121_100740,1,Chamber1,,,Sound 2,1,30,5.81,100,0.01,0,2
201012-1,VF020121_100740,1,Chamber1,,,Sound 3,1,30,5.81,100,0.01,0,2
201012-1,VF020121_100740,1,Chamber1,,,Shock 1,2,1.967,0.38,98.33,1.77,0,16
201012-1,VF020121_100740,1,Chamber1,,,Shock 2,1,2,0.39,100,1.65,0,12
201012-1,VF020121_100740,1,Chamber1,,,Shock 3,1,2,0.39,100,0.07,0,3
,,,,,,,,,,,,,
201012-2,VF020121_100740,1,Chamber 2,,,Sound 1,6,28.767,5.57,95.89,1.89,0,157
201012-2,VF020121_100740,1,Chamber 2,,,Sound 2,2,29.933,5.8,99.78,0.14,0,17
201012-2,VF020121_100740,1,Chamber 2,,,Sound 3,1,30,5.81,100,0.02,0,5
201012-2,VF020121_100740,1,Chamber 2,,,Shock 1,1,0.633,0.12,31.67,85.7,0,1092
201012-2,VF020121_100740,1,Chamber 2,,,Shock 2,3,1.5,0.29,75,6.02,0,104
201012-2,VF020121_100740,1,Chamber 2,,,Shock 3,1,1.2,0.23,60,18.68,0,266
,,,,,,,,,,,,,
201012-3,VF020121_103959,2,Chamber1,,,Sound 1,1,30,5.81,100,0.16,0,8
201012-3,VF020121_103959,2,Chamber1,,,Sound 2,1,30,5.81,100,0.02,0,6
201012-3,VF020121_103959,2,Chamber1,,,Sound 3,1,30,5.81,100,0.04,0,10
201012-3,VF020121_103959,2,Chamber1,,,Shock 1,3,1.867,0.36,93.33,3.77,0,25
201012-3,VF020121_103959,2,Chamber1,,,Shock 2,2,1.867,0.36,93.33,2.8,0,19
201012-3,VF020121_103959,2,Chamber1,,,Shock 3,2,1.733,0.34,86.67,3.58,0,25
,,,,,,,,,,,,,
201012-4,VF020121_103959,2,Chamber 2,,,Sound 1,3,29.867,5.79,99.56,0.18,0,39
201012-4,VF020121_103959,2,Chamber 2,,,Sound 2,1,30,5.81,100,0,0,1
201012-4,VF020121_103959,2,Chamber 2,,,Sound 3,1,30,5.81,100,0,0,0
201012-4,VF020121_103959,2,Chamber 2,,,Shock 1,2,1.933,0.37,96.67,1.67,0,22
201012-4,VF020121_103959,2,Chamber 2,,,Shock 2,2,1.833,0.36,91.67,4.02,0,95
201012-4,VF020121_103959,2,Chamber 2,,,Shock 3,2,1.9,0.37,95,1.15,0,16
,,,,,,,,,,,,,
201012-5,VF020121_105420,3,Chamber1,,,Sound 1,1,30,5.81,100,0.23,0,11
201012-5,VF020121_105420,3,Chamber1,,,Sound 2,1,30,5.81,100,0.08,0,5
201012-5,VF020121_105420,3,Chamber1,,,Sound 3,1,30,5.81,100,0,0,0
201012-5,VF020121_105420,3,Chamber1,,,Shock 1,1,2,0.39,100,1,0,9
201012-5,VF020121_105420,3,Chamber1,,,Shock 2,1,2,0.39,100,1.17,0,10
201012-5,VF020121_105420,3,Chamber1,,,Shock 3,1,2,0.39,100,1.07,0,9
,,,,,,,,,,,,,
201012-6,VF020121_105420,3,Chamber 2,,,Sound 1,6,29.133,5.65,97.11,0.91,0,60
201012-6,VF020121_105420,3,Chamber 2,,,Sound 2,1,30,5.81,100,0.08,0,8
201012-6,VF020121_105420,3,Chamber 2,,,Sound 3,1,30,5.81,100,0,0,1
201012-6,VF020121_105420,3,Chamber 2,,,Shock 1,3,1.6,0.31,80,3.42,0,36
201012-6,VF020121_105420,3,Chamber 2,,,Shock 2,2,1.933,0.37,96.67,1.4,0,22
201012-6,VF020121_105420,3,Chamber 2,,,Shock 3,1,1.633,0.32,81.67,8.2,0,140
,,,,,,,,,,,,,
201012-7,VF020121_111205,4,Chamber1,,,Sound 1,4,29.9,5.79,99.67,0.82,0,22
201012-7,VF020121_111205,4,Chamber1,,,Sound 2,2,29.967,5.81,99.89,0.31,0,19
201012-7,VF020121_111205,4,Chamber1,,,Sound 3,1,30,5.81,100,0.04,0,4
201012-7,VF020121_111205,4,Chamber1,,,Shock 1,1,1.667,0.32,83.33,3.12,0,22
201012-7,VF020121_111205,4,Chamber1,,,Shock 2,2,1.867,0.36,93.33,3.02,0,28
201012-7,VF020121_111205,4,Chamber1,,,Shock 3,1,1.867,0.36,93.33,2.83,0,15
,,,,,,,,,,,,,
201012-8,VF020121_111205,4,Chamber 2,,,Sound 1,3,29.867,5.79,99.56,0.41,0,52
201012-8,VF020121_111205,4,Chamber 2,,,Sound 2,2,29.967,5.81,99.89,0.33,0,15
