,Date :,5/27/2021 17:16,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Day2_Acclimation, 0:00:00.000,180,0,5400,,,,,,,,
,Day2_CSTone, 0:03:00.000,360,5400,10800,,,,,,,,
,Day2_Exploration, 0:06:00.000,450,10800,13500,,,,,,,,
,,,,,,,,,,,,,
Animal ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
210201_13,VF022421_114126,day2_7,Chamber1,,,Day2_Exploration,4,89.6,19.91,19.91,0.12,0,18
,,,,,,,,,,,,,
210201_14,VF022421_114126,day2_7,Chamber 2,,,Day2_Acclimation,28,175.467,38.99,97.48,0.64,0,77
210201_14,VF022421_114126,day2_7,Chamber 2,,,Day2_CSTone,12,268.633,59.7,74.62,0.19,0,48
210201_14,VF022421_114126,day2_7,Chamber 2,,,Day2_Exploration,7,89,19.78,19.78,0.32,0,48
,,,,,,,,,,,,,
210201_15,VF022421_115239,day2_8,Chamber1,,,Day2_Acclimation,9,178.767,39.73,99.31,0.34,0,35
210201_15,VF022421_115239,day2_8,Chamber1,,,Day2_CSTone,2,269.967,59.99,74.99,0.02,0,23
210201_15,VF022421_115239,day2_8,Chamber1,,,Day2_Exploration,1,90,20,20,0.04,0,10
,,,,,,,,,,,,,
210201_16,VF022421_115239,day2_8,Chamber 2,,,Day2_Acclimation,34,171.133,38.03,95.07,1.2,0,56
210201_16,VF022421_115239,day2_8,Chamber 2,,,Day2_CSTone,55,257.5,57.22,71.53,0.97,0,70
210201_16,VF022421_115239,day2_8,Chamber 2,,,Day2_Exploration,17,85.2,18.93,18.93,1.02,0,70
,,,,,,,,,,,,,
210201_17,VF022421_120537,day2_9,Chamber1,,,Day2_Acclimation,27,41,9.11,22.78,69.48,0,855
210201_17,VF022421_120537,day2_9,Chamber1,,,Day2_CSTone,55,185.7,41.27,51.58,32.23,0,1868
210201_17,VF022421_120537,day2_9,Chamber1,,,Day2_Exploration,17,49.7,11.04,11.04,48.18,0,736
,,,,,,,,,,,,,
210201_18,VF022421_120537,day2_9,Chamber 2,,,Day2_Acclimation,40,169.4,37.64,94.11,1.24,0,67
210201_18,VF022421_120537,day2_9,Chamber 2,,,Day2_CSTone,13,266.733,59.27,74.09,0.33,0,69
210201_18,VF022421_120537,day2_9,Chamber 2,,,Day2_Exploration,11,86.8,19.29,19.29,0.88,0,69
,,,,,,,,,,,,,
210201_19,VF022421_122203,day2_10,Chamber1,,,Day2_Acclimation,17,176.867,39.3,98.26,0.47,0,43
210201_19,VF022421_122203,day2_10,Chamber1,,,Day2_CSTone,12,267.967,59.55,74.44,0.24,0,53
210201_19,VF022421_122203,day2_10,Chamber1,,,Day2_Exploration,8,88.467,19.66,19.66,0.49,0,39
