,Date :,5/27/2021 17:03,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Sound 1, 0:02:00.000,30,3600,900,,,,,,,,
,Sound 2, 0:04:02.000,30,7260,900,,,,,,,,
,Sound 3, 0:06:04.000,30,10920,900,,,,,,,,
,Shock 1, 0:02:30.000,2,4500,60,,,,,,,,
,Shock 2, 0:04:32.000,2,8160,60,,,,,,,,
,Shock 3, 0:06:34.000,2,11820,60,,,,,,,,
,,,,,,,,,,,,,
Animal ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
210201_1,VF022221_102814,day0_1,Chamber1,,,Sound 1,10,26.6,5.16,88.67,4.45,0,223
210201_1,VF022221_102814,day0_1,Chamber1,,,Sound 2,5,29.767,5.77,99.22,0.58,0,29
210201_1,VF022221_102814,day0_1,Chamber1,,,Sound 3,1,30,5.81,100,0,0,0
210201_1,VF022221_102814,day0_1,Chamber1,,,Shock 1,1,0.4,0.08,20,12.9,0,112
210201_1,VF022221_102814,day0_1,Chamber1,,,Shock 2,1,0.733,0.14,36.67,387.57,0,3513
210201_1,VF022221_102814,day0_1,Chamber1,,,Shock 3,1,0.333,0.06,16.67,295.13,0,3100
,,,,,,,,,,,,,
210201_2,VF022221_102814,day0_1,Chamber 2,,,Sound 1,2,29.967,5.81,99.89,0.27,0,18
210201_2,VF022221_102814,day0_1,Chamber 2,,,Sound 2,1,30,5.81,100,0.03,0,6
210201_2,VF022221_102814,day0_1,Chamber 2,,,Sound 3,1,30,5.81,100,0,0,0
210201_2,VF022221_102814,day0_1,Chamber 2,,,Shock 1,1,2,0.39,100,0.38,0,7
210201_2,VF022221_102814,day0_1,Chamber 2,,,Shock 2,3,1.933,0.37,96.67,1.77,0,23
210201_2,VF022221_102814,day0_1,Chamber 2,,,Shock 3,2,1.933,0.37,96.67,1.38,0,25
,,,,,,,,,,,,,
210201_3,VF022221_104518,day0_2,Chamber1,,,Sound 1,6,28.067,5.44,93.56,2.83,0,163
210201_3,VF022221_104518,day0_2,Chamber1,,,Sound 2,6,28,5.43,93.33,1.98,0,91
210201_3,VF022221_104518,day0_2,Chamber1,,,Sound 3,1,30,5.81,100,0.12,0,6
210201_3,VF022221_104518,day0_2,Chamber1,,,Shock 1,3,1.567,0.3,78.33,22.8,0,334
210201_3,VF022221_104518,day0_2,Chamber1,,,Shock 2,1,1.533,0.3,76.67,2.48,0,35
210201_3,VF022221_104518,day0_2,Chamber1,,,Shock 3,3,1.667,0.32,83.33,3.47,0,44
,,,,,,,,,,,,,
210201_4,VF022221_104518,day0_2,Chamber 2,,,Sound 1,1,30,5.81,100,0.13,0,9
210201_4,VF022221_104518,day0_2,Chamber 2,,,Sound 2,1,30,5.81,100,0.04,0,8
210201_4,VF022221_104518,day0_2,Chamber 2,,,Sound 3,1,30,5.81,100,0.03,0,11
210201_4,VF022221_104518,day0_2,Chamber 2,,,Shock 1,2,1.967,0.38,98.33,0.82,0,16
210201_4,VF022221_104518,day0_2,Chamber 2,,,Shock 2,2,1.867,0.36,93.33,1.37,0,19
210201_4,VF022221_104518,day0_2,Chamber 2,,,Shock 3,2,1.967,0.38,98.33,1.38,0,34
,,,,,,,,,,,,,
210201_5,VF022221_105847,day0_3,Chamber1,,,Sound 1,7,26.8,5.19,89.33,5.32,0,452
210201_5,VF022221_105847,day0_3,Chamber1,,,Sound 2,2,29.633,5.74,98.78,1.29,0,210
210201_5,VF022221_105847,day0_3,Chamber1,,,Sound 3,1,30,5.81,100,0.05,0,3
210201_5,VF022221_105847,day0_3,Chamber1,,,Shock 1,2,0.867,0.17,43.33,17.38,0,134
210201_5,VF022221_105847,day0_3,Chamber1,,,Shock 2,3,1.3,0.25,65,12.6,0,102
210201_5,VF022221_105847,day0_3,Chamber1,,,Shock 3,2,0.833,0.16,41.67,113.9,0,1050
,,,,,,,,,,,,,
210201_6,VF022221_105847,day0_3,Chamber 2,,,Sound 1,7,29.8,5.78,99.33,0.93,0,37
210201_6,VF022221_105847,day0_3,Chamber 2,,,Sound 2,1,30,5.81,100,0.3,0,14
210201_6,VF022221_105847,day0_3,Chamber 2,,,Sound 3,1,30,5.81,100,0,0,0
210201_6,VF022221_105847,day0_3,Chamber 2,,,Shock 1,2,1.433,0.28,71.67,4.3,0,82
210201_6,VF022221_105847,day0_3,Chamber 2,,,Shock 2,2,1.3,0.25,65,4.33,0,44
210201_6,VF022221_105847,day0_3,Chamber 2,,,Shock 3,2,1.533,0.3,76.67,4.35,0,59
,,,,,,,,,,,,,
210201_7,VF022221_111058,day0_4,Chamber1,,,Sound 1,10,26.733,5.18,89.11,3.28,0,128
210201_7,VF022221_111058,day0_4,Chamber1,,,Sound 2,5,28.7,5.56,95.67,1.58,0,99
210201_7,VF022221_111058,day0_4,Chamber1,,,Sound 3,3,29.633,5.74,98.78,0.76,0,123
210201_7,VF022221_111058,day0_4,Chamber1,,,Shock 1,2,1.633,0.32,81.67,12.77,0,168
210201_7,VF022221_111058,day0_4,Chamber1,,,Shock 2,2,1.433,0.28,71.67,5.05,0,58
