,Date :,3/9/2022 12:00,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Day2_Acclimation, 0:00:00.000,180,0,5400,,,,,,,,
,Day2_CSTone, 0:03:00.000,360,5400,10800,,,,,,,,
,Day2_Exploration, 0:06:00.000,450,10800,13500,,,,,,,,
,,,,,,,,,,,,,
Animal ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
220207_19,VF030922_111225,day2_trial8,Chamber1,,,Day2_CSTone,89,120.233,26.72,33.4,55.72,0,1069
220207_19,VF030922_111225,day2_trial8,Chamber1,,,Day2_Exploration,10,8.233,1.83,1.83,128.48,0,1069
,,,,,,,,,,,,,
220207_20,VF030922_111225,day2_trial8,Chamber 2,,,Day2_Acclimation,52,50.867,11.3,28.26,79.04,0,942
220207_20,VF030922_111225,day2_trial8,Chamber 2,,,Day2_CSTone,55,120.767,26.84,33.55,53.95,0,762
220207_20,VF030922_111225,day2_trial8,Chamber 2,,,Day2_Exploration,14,26.233,5.83,5.83,80.47,0,626
,,,,,,,,,,,,,
220207_21,VF030922_112306,day2_trial9,Chamber1,,,Day2_Acclimation,33,74.233,16.5,41.24,131.64,0,1600
220207_21,VF030922_112306,day2_trial9,Chamber1,,,Day2_CSTone,50,161.533,35.9,44.87,62.46,0,2012
220207_21,VF030922_112306,day2_trial9,Chamber1,,,Day2_Exploration,18,32.6,7.24,7.24,127.41,0,2012
,,,,,,,,,,,,,
220207_22,VF030922_112306,day2_trial9,Chamber 2,,,Day2_Acclimation,44,70.533,15.67,39.19,70.41,0,975
220207_22,VF030922_112306,day2_trial9,Chamber 2,,,Day2_CSTone,80,151.467,33.66,42.07,36.48,0,785
220207_22,VF030922_112306,day2_trial9,Chamber 2,,,Day2_Exploration,32,44.1,9.8,9.8,44.65,0,785
,,,,,,,,,,,,,
220207_23,VF030922_113342,day2_trial10,Chamber1,,,Day2_Acclimation,25,32.167,7.15,17.87,121.13,0,881
220207_23,VF030922_113342,day2_trial10,Chamber1,,,Day2_CSTone,60,155.133,34.47,43.09,62.71,0,1313
220207_23,VF030922_113342,day2_trial10,Chamber1,,,Day2_Exploration,24,54.233,12.05,12.05,60.23,0,771
,,,,,,,,,,,,,
220207_24,VF030922_113342,day2_trial10,Chamber 2,,,Day2_Acclimation,74,97.067,21.57,53.93,33.66,0,1034
220207_24,VF030922_113342,day2_trial10,Chamber 2,,,Day2_CSTone,52,123.967,27.55,34.44,55.05,0,1127
220207_24,VF030922_113342,day2_trial10,Chamber 2,,,Day2_Exploration,14,13.033,2.9,2.9,106.4,0,1127
,,,,,,,,,,,,,
220207_25,VF030922_114420,day2_trial11,Chamber1,,,Day2_Acclimation,35,44.333,9.85,24.63,96.92,0,1296
220207_25,VF030922_114420,day2_trial11,Chamber1,,,Day2_CSTone,71,163.7,36.38,45.47,34,0,767
220207_25,VF030922_114420,day2_trial11,Chamber1,,,Day2_Exploration,21,25.233,5.61,5.61,67.92,0,767
