,Date :,12/15/2021 12:02,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Day2_Acclimation, 0:00:00.000,180,0,5400,,,,,,,,
,Day2_CSTone, 0:03:00.000,360,5400,10800,,,,,,,,
,Day2_Exploration, 0:06:00.000,450,10800,13500,,,,,,,,
,,,,,,,,,,,,,
Animal_ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
211122_15,VF121521_111221,day2_trial8,Chamber1,,,Day2_Acclimation,16,14.733,3.27,8.19,173.69,0,1864
211122_15,VF121521_111221,day2_trial8,Chamber1,,,Day2_CSTone,51,129.767,28.84,36.05,84.24,0,2849
211122_15,VF121521_111221,day2_trial8,Chamber1,,,Day2_Exploration,12,23.767,5.28,5.28,102.01,0,817
,,,,,,,,,,,,,
211122_16,VF121521_111221,day2_trial8,Chamber 2,,,Day2_Acclimation,0,0,0,0,234.16,0,2060
211122_16,VF121521_111221,day2_trial8,Chamber 2,,,Day2_CSTone,37,30.167,6.7,8.38,163.02,0,4515
211122_16,VF121521_111221,day2_trial8,Chamber 2,,,Day2_Exploration,8,6.5,1.44,1.44,147.89,0,1493
,,,,,,,,,,,,,
211122_23,VF121521_112241,day2_trial9,Chamber1,,,Day2_Acclimation,1,0.467,0.1,0.26,254.77,0,1596
211122_23,VF121521_112241,day2_trial9,Chamber1,,,Day2_CSTone,69,85.7,19.04,23.81,128.01,0,2505
211122_23,VF121521_112241,day2_trial9,Chamber1,,,Day2_Exploration,10,6.8,1.51,1.51,210.02,0,2337
,,,,,,,,,,,,,
211122_24,VF121521_112241,day2_trial9,Chamber 2,,,Day2_Acclimation,64,42.133,9.36,23.41,57.35,0,849
211122_24,VF121521_112241,day2_trial9,Chamber 2,,,Day2_CSTone,111,121.267,26.95,33.69,49.26,0,1065
211122_24,VF121521_112241,day2_trial9,Chamber 2,,,Day2_Exploration,18,18.9,4.2,4.2,91.92,0,1065
,,,,,,,,,,,,,
211122_25,VF121521_113325,day2_trial10,Chamber1,,,Day2_Acclimation,33,77.3,17.18,42.94,90.18,0,1147
211122_25,VF121521_113325,day2_trial10,Chamber1,,,Day2_CSTone,52,112.967,25.1,31.38,94.43,0,1558
211122_25,VF121521_113325,day2_trial10,Chamber1,,,Day2_Exploration,16,25.5,5.67,5.67,97.72,0,653
,,,,,,,,,,,,,
211122_26,VF121521_113325,day2_trial10,Chamber 2,,,Day2_Acclimation,4,2.167,0.48,1.2,191.52,0,1567
211122_26,VF121521_113325,day2_trial10,Chamber 2,,,Day2_CSTone,25,15.467,3.44,4.3,132.84,0,2111
211122_26,VF121521_113325,day2_trial10,Chamber 2,,,Day2_Exploration,13,6.433,1.43,1.43,99.78,0,1051
,,,,,,,,,,,,,
211122_27,VF121521_114511,day2_trial11,Chamber1,,,Day2_Acclimation,27,37.7,8.38,20.94,99.02,0,1067
211122_27,VF121521_114511,day2_trial11,Chamber1,,,Day2_CSTone,47,114.167,25.37,31.71,72.12,0,942
211122_27,VF121521_114511,day2_trial11,Chamber1,,,Day2_Exploration,10,9.633,2.14,2.14,127.31,0,942
,,,,,,,,,,,,,
211122_28,VF121521_114511,day2_trial11,Chamber 2,,,Day2_Acclimation,27,33.067,7.35,18.37,129.4,0,1337
211122_28,VF121521_114511,day2_trial11,Chamber 2,,,Day2_CSTone,67,127.533,28.34,35.43,57.97,0,1282
211122_28,VF121521_114511,day2_trial11,Chamber 2,,,Day2_Exploration,20,27.067,6.01,6.01,78.93,0,854
