,Date :,12/13/2021 11:59,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Sound 1, 0:02:00.000,30,3600,900,,,,,,,,
,Sound 2, 0:04:02.000,30,7260,900,,,,,,,,
,Sound 3, 0:06:04.000,30,10920,900,,,,,,,,
,Shock 1, 0:02:30.000,2,4500,60,,,,,,,,
,Shock 2, 0:04:32.000,2,8160,60,,,,,,,,
,Shock 3, 0:06:34.000,2,11820,60,,,,,,,,
,,,,,,,,,,,,,
Animal_ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
211122_1,VF121321_094147,day0_trial1,Chamber1,,,Sound 1,9,4.6,0.89,15.33,56.42,0,557
211122_1,VF121321_094147,day0_trial1,Chamber1,,,Sound 2,13,7.467,1.45,24.89,30.85,0,355
211122_1,VF121321_094147,day0_trial1,Chamber1,,,Sound 3,19,22.067,4.28,73.56,5.44,0,66
211122_1,VF121321_094147,day0_trial1,Chamber1,,,Shock 1,0,0,0,0,351.37,0,945
211122_1,VF121321_094147,day0_trial1,Chamber1,,,Shock 2,0,0,0,0,423.2,3,1583
211122_1,VF121321_094147,day0_trial1,Chamber1,,,Shock 3,0,0,0,0,403.93,0,1186
,,,,,,,,,,,,,
211122_2,VF121321_094147,day0_trial1,Chamber 2,,,Sound 1,6,2.767,0.54,9.22,237.85,0,1402
211122_2,VF121321_094147,day0_trial1,Chamber 2,,,Sound 2,10,7.8,1.51,26,84.73,0,566
211122_2,VF121321_094147,day0_trial1,Chamber 2,,,Sound 3,8,16.467,3.19,54.89,34.1,0,349
211122_2,VF121321_094147,day0_trial1,Chamber 2,,,Shock 1,0,0,0,0,947.32,108,1849
211122_2,VF121321_094147,day0_trial1,Chamber 2,,,Shock 2,0,0,0,0,731.85,44,1530
211122_2,VF121321_094147,day0_trial1,Chamber 2,,,Shock 3,0,0,0,0,991.55,0,2652
,,,,,,,,,,,,,
211122_3,VF121321_095811,day0_trial2,Chamber1,,,Sound 1,9,5.1,0.99,17,69.61,0,701
211122_3,VF121321_095811,day0_trial2,Chamber1,,,Sound 2,18,18.9,3.66,63,12.22,0,148
211122_3,VF121321_095811,day0_trial2,Chamber1,,,Sound 3,13,24.6,4.77,82,4.9,0,167
211122_3,VF121321_095811,day0_trial2,Chamber1,,,Shock 1,0,0,0,0,500.63,10,2417
211122_3,VF121321_095811,day0_trial2,Chamber1,,,Shock 2,0,0,0,0,596.4,0,2598
211122_3,VF121321_095811,day0_trial2,Chamber1,,,Shock 3,0,0,0,0,377.1,0,1672
,,,,,,,,,,,,,
211122_4,VF121321_095811,day0_trial2,Chamber 2,,,Sound 1,0,0,0,0,377.85,12,1559
211122_4,VF121321_095811,day0_trial2,Chamber 2,,,Sound 2,0,0,0,0,382.21,0,1495
211122_4,VF121321_095811,day0_trial2,Chamber 2,,,Sound 3,10,11.733,2.27,39.11,88.01,0,1598
211122_4,VF121321_095811,day0_trial2,Chamber 2,,,Shock 1,0,0,0,0,1259.45,280,4657
211122_4,VF121321_095811,day0_trial2,Chamber 2,,,Shock 2,0,0,0,0,1017.07,120,3208
211122_4,VF121321_095811,day0_trial2,Chamber 2,,,Shock 3,0,0,0,0,954.5,0,1995
,,,,,,,,,,,,,
211122_5,VF121321_100853,day0_trial3,Chamber1,,,Sound 1,1,0.467,0.09,1.56,144.09,0,1050
211122_5,VF121321_100853,day0_trial3,Chamber1,,,Sound 2,17,16,3.1,53.33,25.71,0,372
211122_5,VF121321_100853,day0_trial3,Chamber1,,,Sound 3,8,17.033,3.3,56.78,29.78,0,421
211122_5,VF121321_100853,day0_trial3,Chamber1,,,Shock 1,0,0,0,0,286.33,3,1347
211122_5,VF121321_100853,day0_trial3,Chamber1,,,Shock 2,0,0,0,0,198.37,0,502
211122_5,VF121321_100853,day0_trial3,Chamber1,,,Shock 3,0,0,0,0,257.3,0,827
,,,,,,,,,,,,,
211122_6,VF121321_100853,day0_trial3,Chamber 2,,,Sound 1,0,0,0,0,295.63,0,1252
211122_6,VF121321_100853,day0_trial3,Chamber 2,,,Sound 2,8,11.933,2.31,39.78,91.24,0,1020
211122_6,VF121321_100853,day0_trial3,Chamber 2,,,Sound 3,9,14.433,2.8,48.11,25.49,0,257
211122_6,VF121321_100853,day0_trial3,Chamber 2,,,Shock 1,0,0,0,0,663.2,179,1863
211122_6,VF121321_100853,day0_trial3,Chamber 2,,,Shock 2,0,0,0,0,656.85,0,2325
211122_6,VF121321_100853,day0_trial3,Chamber 2,,,Shock 3,0,0,0,0,815.15,0,2130
,,,,,,,,,,,,,
211122_7,VF121321_102045,day0_trial4,Chamber1,,,Sound 1,3,2.3,0.45,7.67,77.63,0,699
211122_7,VF121321_102045,day0_trial4,Chamber1,,,Sound 2,23,22.433,4.35,74.78,6.17,0,125
211122_7,VF121321_102045,day0_trial4,Chamber1,,,Sound 3,10,25.867,5.01,86.22,6.77,0,404
211122_7,VF121321_102045,day0_trial4,Chamber1,,,Shock 1,0,0,0,0,380.38,1,1084
