,Date :,10/25/2021 11:53,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Sound 1, 0:02:00.000,30,3600,900,,,,,,,,
,Sound 2, 0:04:02.000,30,7260,900,,,,,,,,
,Sound 3, 0:06:04.000,30,10920,900,,,,,,,,
,Shock 1, 0:02:30.000,2,4500,60,,,,,,,,
,Shock 2, 0:04:32.000,2,8160,60,,,,,,,,
,Shock 3, 0:06:34.000,2,11820,60,,,,,,,,
,,,,,,,,,,,,,
Animal_ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
211004_13,VF102521_105644,day0_trial5,Chamber1,,,Sound 1,6,5.7,1.1,19,51.93,0,550
211004_13,VF102521_105644,day0_trial5,Chamber1,,,Sound 2,10,13.767,2.67,45.89,18.69,0,373
211004_13,VF102521_105644,day0_trial5,Chamber1,,,Sound 3,17,17.367,3.37,57.89,11.7,0,128
211004_13,VF102521_105644,day0_trial5,Chamber1,,,Shock 1,0,0,0,0,709.17,47,3434
211004_13,VF102521_105644,day0_trial5,Chamber1,,,Shock 2,0,0,0,0,324.17,0,1139
211004_13,VF102521_105644,day0_trial5,Chamber1,,,Shock 3,0,0,0,0,388.07,0,1295
,,,,,,,,,,,,,
211004_14,VF102521_105644,day0_trial5,Chamber 2,,,Sound 1,0,0,0,0,216.47,0,1124
211004_14,VF102521_105644,day0_trial5,Chamber 2,,,Sound 2,10,5.033,0.98,16.78,97.56,0,1089
211004_14,VF102521_105644,day0_trial5,Chamber 2,,,Sound 3,4,2.6,0.5,8.67,221.49,0,2519
211004_14,VF102521_105644,day0_trial5,Chamber 2,,,Shock 1,0,0,0,0,1034.9,58,4624
211004_14,VF102521_105644,day0_trial5,Chamber 2,,,Shock 2,0,0,0,0,821.63,27,2088
211004_14,VF102521_105644,day0_trial5,Chamber 2,,,Shock 3,0,0,0,0,1140.42,0,4041
,,,,,,,,,,,,,
211004_15,VF102521_111017,day0_trial6,Chamber1,,,Sound 1,2,1.567,0.3,5.22,60.29,0,524
211004_15,VF102521_111017,day0_trial6,Chamber1,,,Sound 2,12,15.433,2.99,51.44,12.01,0,267
211004_15,VF102521_111017,day0_trial6,Chamber1,,,Sound 3,8,28.533,5.53,95.11,1.28,0,34
211004_15,VF102521_111017,day0_trial6,Chamber1,,,Shock 1,0,0,0,0,551.32,1,2615
211004_15,VF102521_111017,day0_trial6,Chamber1,,,Shock 2,0,0,0,0,506.72,0,2418
211004_15,VF102521_111017,day0_trial6,Chamber1,,,Shock 3,0,0,0,0,410.9,0,1544
,,,,,,,,,,,,,
211004_16,VF102521_111017,day0_trial6,Chamber 2,,,Sound 1,0,0,0,0,213.07,0,994
211004_16,VF102521_111017,day0_trial6,Chamber 2,,,Sound 2,7,4.533,0.88,15.11,97.48,0,1035
211004_16,VF102521_111017,day0_trial6,Chamber 2,,,Sound 3,18,16.4,3.18,54.67,25.62,0,406
211004_16,VF102521_111017,day0_trial6,Chamber 2,,,Shock 1,0,0,0,0,859.4,1,3056
211004_16,VF102521_111017,day0_trial6,Chamber 2,,,Shock 2,0,0,0,0,767.7,26,2200
211004_16,VF102521_111017,day0_trial6,Chamber 2,,,Shock 3,0,0,0,0,693.7,0,2192
,,,,,,,,,,,,,
211004_17,VF102521_112316,day0_trial7,Chamber1,,,Sound 1,6,8.133,1.58,27.11,42.3,0,351
211004_17,VF102521_112316,day0_trial7,Chamber1,,,Sound 2,18,19.367,3.75,64.56,13.01,0,224
211004_17,VF102521_112316,day0_trial7,Chamber1,,,Sound 3,14,22.367,4.33,74.56,7.37,0,319
211004_17,VF102521_112316,day0_trial7,Chamber1,,,Shock 1,0,0,0,0,534.97,33,2184
211004_17,VF102521_112316,day0_trial7,Chamber1,,,Shock 2,0,0,0,0,495.72,0,1510
211004_17,VF102521_112316,day0_trial7,Chamber1,,,Shock 3,0,0,0,0,565.4,0,1647
,,,,,,,,,,,,,
211004_19,VF102521_112316,day0_trial7,Chamber 2,,,Sound 1,6,5.033,0.98,16.78,212.15,0,1203
211004_19,VF102521_112316,day0_trial7,Chamber 2,,,Sound 2,2,1.6,0.31,5.33,174.01,0,964
211004_19,VF102521_112316,day0_trial7,Chamber 2,,,Sound 3,9,16.8,3.26,56,22.56,0,323
211004_19,VF102521_112316,day0_trial7,Chamber 2,,,Shock 1,0,0,0,0,1253.17,43,3685
211004_19,VF102521_112316,day0_trial7,Chamber 2,,,Shock 2,0,0,0,0,1018.93,58,4839
211004_19,VF102521_112316,day0_trial7,Chamber 2,,,Shock 3,0,0,0,0,1204.97,0,3647
,,,,,,,,,,,,,
211004_20,VF102521_113559,day0_trial8,Chamber1,,,Sound 1,6,3.633,0.7,12.11,93.98,0,911
211004_20,VF102521_113559,day0_trial8,Chamber1,,,Sound 2,14,10.7,2.07,35.67,18.59,0,150
211004_20,VF102521_113559,day0_trial8,Chamber1,,,Sound 3,19,22,4.26,73.33,10.4,0,197
211004_20,VF102521_113559,day0_trial8,Chamber1,,,Shock 1,0,0,0,0,417.35,15,1289
211004_20,VF102521_113559,day0_trial8,Chamber1,,,Shock 2,0,0,0,0,466.18,0,2389
211004_20,VF102521_113559,day0_trial8,Chamber1,,,Shock 3,0,0,0,0,263.83,0,1311
,,,,,,,,,,,,,
211004_21,VF102521_113559,day0_trial8,Chamber 2,,,Sound 1,3,1.367,0.26,4.56,172.21,0,1029
211004_21,VF102521_113559,day0_trial8,Chamber 2,,,Sound 2,1,0.433,0.08,1.44,134.49,0,553
211004_21,VF102521_113559,day0_trial8,Chamber 2,,,Sound 3,8,6,1.16,20,63.31,0,500
211004_21,VF102521_113559,day0_trial8,Chamber 2,,,Shock 1,0,0,0,0,894.43,110,3695
211004_21,VF102521_113559,day0_trial8,Chamber 2,,,Shock 2,0,0,0,0,1000.22,57,2636
211004_21,VF102521_113559,day0_trial8,Chamber 2,,,Shock 3,0,0,0,0,686.25,4,2707
