,Date :,10/27/2021 11:32,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Day2_Acclimation, 0:00:00.000,180,0,5400,,,,,,,,
,Day2_CSTone, 0:03:00.000,360,5400,10800,,,,,,,,
,Day2_Exploration, 0:06:00.000,450,10800,13500,,,,,,,,
,,,,,,,,,,,,,
Animal_ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
211004_1,VF102721_100039,day2_trial1,Chamber1,,,Day2_Acclimation,52,59.1,13.13,32.83,73.88,0,1009
211004_1,VF102721_100039,day2_trial1,Chamber1,,,Day2_CSTone,49,134.3,29.84,37.31,61.36,0,1180
211004_1,VF102721_100039,day2_trial1,Chamber1,,,Day2_Exploration,14,16.3,3.62,3.62,112.04,0,1180
,,,,,,,,,,,,,
211004_2,VF102721_100039,day2_trial1,Chamber 2,,,Day2_Acclimation,32,42.133,9.36,23.41,157.9,0,1517
211004_2,VF102721_100039,day2_trial1,Chamber 2,,,Day2_CSTone,61,127.467,28.33,35.41,65.6,0,3857
211004_2,VF102721_100039,day2_trial1,Chamber 2,,,Day2_Exploration,11,9.467,2.1,2.1,108.84,0,935
,,,,,,,,,,,,,
211004_3,VF102721_101020,day2_trial2,Chamber1,,,Day2_Acclimation,26,27.433,6.1,15.24,141.52,0,1373
211004_3,VF102721_101020,day2_trial2,Chamber1,,,Day2_CSTone,32,143.733,31.94,39.93,53.41,0,788
211004_3,VF102721_101020,day2_trial2,Chamber1,,,Day2_Exploration,7,5.6,1.24,1.24,121.51,0,788
,,,,,,,,,,,,,
211004_5,VF102721_101020,day2_trial2,Chamber 2,,,Day2_Acclimation,3,2.667,0.59,1.48,239.1,0,1553
211004_5,VF102721_101020,day2_trial2,Chamber 2,,,Day2_CSTone,52,86.4,19.2,24,117.5,0,1423
211004_5,VF102721_101020,day2_trial2,Chamber 2,,,Day2_Exploration,8,9.933,2.21,2.21,167.65,0,1141
,,,,,,,,,,,,,
211004_9,VF102721_102129,day2_trial3,Chamber1,,,Day2_Acclimation,24,28.867,6.41,16.04,177.36,0,1364
211004_9,VF102721_102129,day2_trial3,Chamber1,,,Day2_CSTone,24,213.9,47.53,59.42,23.84,0,706
211004_9,VF102721_102129,day2_trial3,Chamber1,,,Day2_Exploration,7,69.467,15.44,15.44,23.88,0,579
,,,,,,,,,,,,,
211004_10,VF102721_102129,day2_trial3,Chamber 2,,,Day2_Acclimation,4,2.067,0.46,1.15,223.39,0,1424
211004_10,VF102721_102129,day2_trial3,Chamber 2,,,Day2_CSTone,47,42,9.33,11.67,86.73,0,2825
211004_10,VF102721_102129,day2_trial3,Chamber 2,,,Day2_Exploration,10,7.333,1.63,1.63,97.61,0,1305
,,,,,,,,,,,,,
211004_11,VF102721_103229,day2_trial4,Chamber1,,,Day2_Acclimation,25,28.6,6.36,15.89,169.66,0,1450
211004_11,VF102721_103229,day2_trial4,Chamber1,,,Day2_CSTone,69,136.767,30.39,37.99,56.91,0,831
211004_11,VF102721_103229,day2_trial4,Chamber1,,,Day2_Exploration,20,25.5,5.67,5.67,112.67,0,831
,,,,,,,,,,,,,
211004_12,VF102721_103229,day2_trial4,Chamber 2,,,Day2_Acclimation,15,12.467,2.77,6.93,154.7,0,1636
211004_12,VF102721_103229,day2_trial4,Chamber 2,,,Day2_CSTone,65,117.1,26.02,32.53,49.04,0,723
211004_12,VF102721_103229,day2_trial4,Chamber 2,,,Day2_Exploration,14,22.967,5.1,5.1,75.9,0,723
,,,,,,,,,,,,,
211004_13,VF102721_104330,day2_trial5,Chamber1,,,Day2_Acclimation,14,11.167,2.48,6.2,149.55,0,1221
211004_13,VF102721_104330,day2_trial5,Chamber1,,,Day2_CSTone,68,98.3,21.84,27.31,50.98,0,774
211004_13,VF102721_104330,day2_trial5,Chamber1,,,Day2_Exploration,16,16.5,3.67,3.67,81.34,0,774
,,,,,,,,,,,,,
211004_14,VF102721_104330,day2_trial5,Chamber 2,,,Day2_Acclimation,15,9.333,2.07,5.19,107.89,0,1335
211004_14,VF102721_104330,day2_trial5,Chamber 2,,,Day2_CSTone,77,84.067,18.68,23.35,56.4,0,1337
211004_14,VF102721_104330,day2_trial5,Chamber 2,,,Day2_Exploration,15,10.533,2.34,2.34,76.49,0,1009
,,,,,,,,,,,,,
211004_15,VF102721_105409,day2_trial6,Chamber1,,,Day2_Acclimation,28,36.567,8.13,20.31,115.98,0,1174
211004_15,VF102721_105409,day2_trial6,Chamber1,,,Day2_CSTone,59,161.767,35.95,44.94,32.12,0,739
211004_15,VF102721_105409,day2_trial6,Chamber1,,,Day2_Exploration,17,22.1,4.91,4.91,71.56,0,739
,,,,,,,,,,,,,
211004_16,VF102721_105409,day2_trial6,Chamber 2,,,Day2_Acclimation,7,4.333,0.96,2.41,172.71,0,1349
211004_16,VF102721_105409,day2_trial6,Chamber 2,,,Day2_CSTone,66,47.767,10.61,13.27,90.93,0,1172
211004_16,VF102721_105409,day2_trial6,Chamber 2,,,Day2_Exploration,11,7.167,1.59,1.59,110.57,0,892
,,,,,,,,,,,,,
