,Date :,5/27/2021 17:41,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Sound 1, 0:02:00.000,30,3600,900,,,,,,,,
,Sound 2, 0:04:02.000,30,7260,900,,,,,,,,
,Sound 3, 0:06:04.000,30,10920,900,,,,,,,,
,Shock 1, 0:02:30.000,2,4500,60,,,,,,,,
,Shock 2, 0:04:32.000,2,8160,60,,,,,,,,
,Shock 3, 0:06:34.000,2,11820,60,,,,,,,,
,,,,,,,,,,,,,
Animal ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
210112_10,VF050321_110859,5_day0,Chamber1,,,Sound 2,1,30,5.81,100,0.19,0,11
210112_10,VF050321_110859,5_day0,Chamber1,,,Sound 3,9,28.167,5.46,93.89,29.01,0,3453
210112_10,VF050321_110859,5_day0,Chamber1,,,Shock 1,0,0,0,0,44.7,0,388
210112_10,VF050321_110859,5_day0,Chamber1,,,Shock 2,0,0,0,0,97.55,0,859
210112_10,VF050321_110859,5_day0,Chamber1,,,Shock 3,0,0,0,0,48.38,0,295
,,,,,,,,,,,,,
210112_11,VF050321_110859,5_day0,Chamber 2,,,Sound 1,2,29.833,5.78,99.44,0.27,0,37
210112_11,VF050321_110859,5_day0,Chamber 2,,,Sound 2,1,30,5.81,100,0.02,0,4
210112_11,VF050321_110859,5_day0,Chamber 2,,,Sound 3,1,30,5.81,100,0.01,0,3
210112_11,VF050321_110859,5_day0,Chamber 2,,,Shock 1,2,1.5,0.29,75,3.9,0,33
210112_11,VF050321_110859,5_day0,Chamber 2,,,Shock 2,2,1.533,0.3,76.67,3.4,0,34
210112_11,VF050321_110859,5_day0,Chamber 2,,,Shock 3,1,1.6,0.31,80,3.33,0,52
,,,,,,,,,,,,,
210112_12,VF050321_112105,6_day0,Chamber1,,,Sound 1,9,27.7,5.37,92.33,3.38,0,226
210112_12,VF050321_112105,6_day0,Chamber1,,,Sound 2,1,30,5.81,100,0,0,0
210112_12,VF050321_112105,6_day0,Chamber1,,,Sound 3,1,30,5.81,100,0,0,0
210112_12,VF050321_112105,6_day0,Chamber1,,,Shock 1,0,0,0,0,167.58,0,713
210112_12,VF050321_112105,6_day0,Chamber1,,,Shock 2,0,0,0,0,89.18,0,636
210112_12,VF050321_112105,6_day0,Chamber1,,,Shock 3,0,0,0,0,170.7,0,1168
,,,,,,,,,,,,,
210112_13,VF050321_112105,6_day0,Chamber 2,,,Sound 1,6,29.833,5.78,99.44,0.56,0,27
210112_13,VF050321_112105,6_day0,Chamber 2,,,Sound 2,1,30,5.81,100,0,0,0
210112_13,VF050321_112105,6_day0,Chamber 2,,,Sound 3,1,30,5.81,100,0,0,0
210112_13,VF050321_112105,6_day0,Chamber 2,,,Shock 1,2,1.967,0.38,98.33,1.35,0,31
210112_13,VF050321_112105,6_day0,Chamber 2,,,Shock 2,1,1.833,0.36,91.67,2.02,0,16
210112_13,VF050321_112105,6_day0,Chamber 2,,,Shock 3,1,1.967,0.38,98.33,1.93,0,20
,,,,,,,,,,,,,
210112_14,VF050321_113317,7_day0,Chamber1,,,Sound 1,8,26,5.04,86.67,5.68,0,185
210112_14,VF050321_113317,7_day0,Chamber1,,,Sound 2,1,30,5.81,100,0.26,0,14
210112_14,VF050321_113317,7_day0,Chamber1,,,Sound 3,2,29.633,5.74,98.78,8.28,0,1240
210112_14,VF050321_113317,7_day0,Chamber1,,,Shock 1,1,0.4,0.08,20,32.42,0,379
210112_14,VF050321_113317,7_day0,Chamber1,,,Shock 2,1,0.6,0.12,30,123.98,0,1237
210112_14,VF050321_113317,7_day0,Chamber1,,,Shock 3,1,0.333,0.06,16.67,409.13,0,4509
,,,,,,,,,,,,,
210112_15,VF050321_113317,7_day0,Chamber 2,,,Sound 1,16,25.033,4.85,83.44,3.79,0,57
210112_15,VF050321_113317,7_day0,Chamber 2,,,Sound 2,10,29,5.62,96.67,1.34,0,23
210112_15,VF050321_113317,7_day0,Chamber 2,,,Sound 3,3,29.867,5.79,99.56,0.33,0,25
210112_15,VF050321_113317,7_day0,Chamber 2,,,Shock 1,1,0.733,0.14,36.67,21.23,0,115
210112_15,VF050321_113317,7_day0,Chamber 2,,,Shock 2,0,0,0,0,12.07,0,69
210112_15,VF050321_113317,7_day0,Chamber 2,,,Shock 3,1,0.333,0.06,16.67,12.93,0,69
,,,,,,,,,,,,,
210112_16,VF050321_114710,8_day0,Chamber1,,,Sound 1,5,28.433,5.51,94.78,3.37,0,317
210112_16,VF050321_114710,8_day0,Chamber1,,,Sound 2,1,30,5.81,100,0.03,0,4
210112_16,VF050321_114710,8_day0,Chamber1,,,Sound 3,1,30,5.81,100,0.02,0,4
210112_16,VF050321_114710,8_day0,Chamber1,,,Shock 1,1,0.367,0.07,18.33,23.2,0,173
210112_16,VF050321_114710,8_day0,Chamber1,,,Shock 2,1,0.5,0.1,25,111.6,0,1148
210112_16,VF050321_114710,8_day0,Chamber1,,,Shock 3,1,0.567,0.11,28.33,44.13,0,624
,,,,,,,,,,,,,
210112_17,VF050321_114710,8_day0,Chamber 2,,,Sound 1,1,30,5.81,100,0.25,0,11
210112_17,VF050321_114710,8_day0,Chamber 2,,,Sound 2,1,30,5.81,100,0.26,0,12
210112_17,VF050321_114710,8_day0,Chamber 2,,,Sound 3,1,30,5.81,100,0,0,0
210112_17,VF050321_114710,8_day0,Chamber 2,,,Shock 1,1,1.633,0.32,81.67,3.48,0,24
210112_17,VF050321_114710,8_day0,Chamber 2,,,Shock 2,2,1.967,0.38,98.33,2.85,0,15
210112_17,VF050321_114710,8_day0,Chamber 2,,,Shock 3,2,1.867,0.36,93.33,1.62,0,17
,,,,,,,,,,,,,
210112_18,VF050321_120015,9_day0,Chamber1,,,Sound 1,9,28.033,5.43,93.44,1.93,0,97
210112_18,VF050321_120015,9_day0,Chamber1,,,Sound 2,1,30,5.81,100,0.08,0,12
210112_18,VF050321_120015,9_day0,Chamber1,,,Sound 3,1,30,5.81,100,0,0,1
210112_18,VF050321_120015,9_day0,Chamber1,,,Shock 1,2,0.867,0.17,43.33,39.43,0,454
210112_18,VF050321_120015,9_day0,Chamber1,,,Shock 2,1,0.5,0.1,25,164,0,1397
210112_18,VF050321_120015,9_day0,Chamber1,,,Shock 3,0,0,0,0,14.57,0,75
,,,,,,,,,,,,,
210112_19,VF050321_120015,9_day0,Chamber 2,,,Sound 1,2,29.967,5.81,99.89,0.36,0,15
210112_19,VF050321_120015,9_day0,Chamber 2,,,Sound 2,1,30,5.81,100,0.11,0,14
210112_19,VF050321_120015,9_day0,Chamber 2,,,Sound 3,1,30,5.81,100,0.01,0,2
210112_19,VF050321_120015,9_day0,Chamber 2,,,Shock 1,3,1.933,0.37,96.67,1.47,0,15
210112_19,VF050321_120015,9_day0,Chamber 2,,,Shock 2,1,1.867,0.36,93.33,2.02,0,25
210112_19,VF050321_120015,9_day0,Chamber 2,,,Shock 3,1,1.6,0.31,80,4.53,0,33
,,,,,,,,,,,,,
210112_20,VF050321_121314,10_day0,Chamber1,,,Sound 1,3,28.467,5.52,94.89,2.01,0,197
210112_20,VF050321_121314,10_day0,Chamber1,,,Sound 2,1,30,5.81,100,0.04,0,3
210112_20,VF050321_121314,10_day0,Chamber1,,,Sound 3,1,30,5.81,100,0,0,4
210112_20,VF050321_121314,10_day0,Chamber1,,,Shock 1,2,1.2,0.23,60,14.4,0,246
210112_20,VF050321_121314,10_day0,Chamber1,,,Shock 2,2,1.433,0.28,71.67,10.43,0,125
210112_20,VF050321_121314,10_day0,Chamber1,,,Shock 3,1,0.4,0.08,20,11.67,0,195
,,,,,,,,,,,,,
210112_21,VF050321_121314,10_day0,Chamber 2,,,Sound 1,4,29.467,5.71,98.22,0.85,0,47
210112_21,VF050321_121314,10_day0,Chamber 2,,,Sound 2,2,29.967,5.81,99.89,0.08,0,26
210112_21,VF050321_121314,10_day0,Chamber 2,,,Sound 3,1,30,5.81,100,0.01,0,4
210112_21,VF050321_121314,10_day0,Chamber 2,,,Shock 1,2,1.2,0.23,60,7.62,0,67
210112_21,VF050321_121314,10_day0,Chamber 2,,,Shock 2,2,1.667,0.32,83.33,6.35,0,105
210112_21,VF050321_121314,10_day0,Chamber 2,,,Shock 3,3,1.467,0.28,73.33,6.12,0,73
,,,,,,,,,,,,,
210112_23,VF050321_122353,11_day0,Chamber1,,,Sound 1,7,28.633,5.55,95.44,3,0,262
210112_23,VF050321_122353,11_day0,Chamber1,,,Sound 2,3,29.8,5.78,99.33,0.52,0,45
210112_23,VF050321_122353,11_day0,Chamber1,,,Sound 3,1,30,5.81,100,0.25,0,9
210112_23,VF050321_122353,11_day0,Chamber1,,,Shock 1,2,0.833,0.16,41.67,22.13,0,195
210112_23,VF050321_122353,11_day0,Chamber1,,,Shock 2,1,0.567,0.11,28.33,51.22,0,539
210112_23,VF050321_122353,11_day0,Chamber1,,,Shock 3,0,0,0,0,52.65,0,390
,,,,,,,,,,,,,
210112_24,VF050321_122353,11_day0,Chamber 2,,,Sound 1,4,29.9,5.79,99.67,0.46,0,18
210112_24,VF050321_122353,11_day0,Chamber 2,,,Sound 2,1,30,5.81,100,0.01,0,3
210112_24,VF050321_122353,11_day0,Chamber 2,,,Sound 3,1,30,5.81,100,0.01,0,3
210112_24,VF050321_122353,11_day0,Chamber 2,,,Shock 1,2,1.567,0.3,78.33,4.2,0,31
