,Date :,5/27/2021 16:49,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Day2_Acclimation, 0:00:00.000,180,0,5400,,,,,,,,
,Day2_CSTone, 0:03:00.000,360,5400,10800,,,,,,,,
,Day2_Exploration, 0:06:00.000,450,10800,13500,,,,,,,,
,,,,,,,,,,,,,
Animal ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
201026_1,VF111820_091037_102620_1_D2,,Chamber1,,,Day2_Acclimation,1,180,31.58,100,0.13,0,13
201026_1,VF111820_091037_102620_1_D2,,Chamber1,,,Day2_CSTone,1,360,63.16,100,0.06,0,12
201026_1,VF111820_091037_102620_1_D2,,Chamber1,,,Day2_Exploration,1,210,36.84,46.67,0.09,0,13
,,,,,,,,,,,,,
201026_2,VF111820_092532_102620_2_D2,,Chamber1,,,Day2_Acclimation,2,179.967,31.57,99.98,0.22,0,19
201026_2,VF111820_092532_102620_2_D2,,Chamber1,,,Day2_CSTone,1,360,63.16,100,0.07,0,13
201026_2,VF111820_092532_102620_2_D2,,Chamber1,,,Day2_Exploration,1,210,36.84,46.67,0.08,0,10
,,,,,,,,,,,,,
201026_3,VF111820_094743_102620_3_D2,,Chamber1,,,Day2_Acclimation,4,179.6,31.51,99.78,0.2,0,23
201026_3,VF111820_094743_102620_3_D2,,Chamber1,,,Day2_CSTone,2,359.967,63.15,99.99,0.11,0,15
201026_3,VF111820_094743_102620_3_D2,,Chamber1,,,Day2_Exploration,3,209.933,36.83,46.65,0.19,0,15
,,,,,,,,,,,,,
201026_4,VF111820_095902_102620_4_D2,,Chamber1,,,Day2_Acclimation,52,164.633,28.88,91.46,1.76,0,71
201026_4,VF111820_095902_102620_4_D2,,Chamber1,,,Day2_CSTone,46,353.2,61.96,98.11,0.61,0,63
201026_4,VF111820_095902_102620_4_D2,,Chamber1,,,Day2_Exploration,23,204.933,35.95,45.54,0.52,0,63
,,,,,,,,,,,,,
201026_5,VF111820_100943_102620_5_D2,,Chamber1,,,Day2_Acclimation,1,180,31.58,100,0.03,0,9
201026_5,VF111820_100943_102620_5_D2,,Chamber1,,,Day2_CSTone,1,360,63.16,100,0.01,0,11
201026_5,VF111820_100943_102620_5_D2,,Chamber1,,,Day2_Exploration,1,210,36.84,46.67,0,0,3
,,,,,,,,,,,,,
201026_6,VF111820_102621_102620_6_D2,,Chamber1,,,Day2_Acclimation,6,179.533,31.5,99.74,0.25,0,31
201026_6,VF111820_102621_102620_6_D2,,Chamber1,,,Day2_CSTone,6,358.667,62.92,99.63,0.22,0,25
201026_6,VF111820_102621_102620_6_D2,,Chamber1,,,Day2_Exploration,8,208.6,36.6,46.36,0.37,0,25
