,Date :,7/5/2022 12:07,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Sound 1, 0:02:00.000,30,3600,900,,,,,,,,
,Sound 2, 0:04:02.000,30,7260,900,,,,,,,,
,Sound 3, 0:06:04.000,30,10920,900,,,,,,,,
,Shock 1, 0:02:30.000,2,4500,60,,,,,,,,
,Shock 2, 0:04:32.000,2,8160,60,,,,,,,,
,Shock 3, 0:06:34.000,2,11820,60,,,,,,,,
,,,,,,,,,,,,,
Animal_ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
220606_9,VF070522_112813,day0_trial5,Chamber1,,,Sound 1,12,5.467,1.06,18.22,60.33,0,447
220606_9,VF070522_112813,day0_trial5,Chamber1,,,Sound 2,14,11.367,2.2,37.89,27.91,0,497
220606_9,VF070522_112813,day0_trial5,Chamber1,,,Sound 3,17,20.133,3.9,67.11,7.8,0,139
220606_9,VF070522_112813,day0_trial5,Chamber1,,,Shock 1,0,0,0,0,402.52,4,2043
220606_9,VF070522_112813,day0_trial5,Chamber1,,,Shock 2,0,0,0,0,284.12,0,1178
220606_9,VF070522_112813,day0_trial5,Chamber1,,,Shock 3,0,0,0,0,314.12,1,1273
,,,,,,,,,,,,,
220606_10,VF070522_112813,day0_trial5,Chamber 2,,,Sound 1,0,0,0,0,410.02,1,1594
220606_10,VF070522_112813,day0_trial5,Chamber 2,,,Sound 2,11,9.733,1.89,32.44,134.65,0,1355
220606_10,VF070522_112813,day0_trial5,Chamber 2,,,Sound 3,15,16.4,3.18,54.67,33.19,0,433
220606_10,VF070522_112813,day0_trial5,Chamber 2,,,Shock 1,0,0,0,0,1496.28,230,4831
220606_10,VF070522_112813,day0_trial5,Chamber 2,,,Shock 2,0,0,0,0,1260.7,203,2912
220606_10,VF070522_112813,day0_trial5,Chamber 2,,,Shock 3,0,0,0,0,1387.97,0,4323
,,,,,,,,,,,,,
220606_11,VF070522_113942,day0_trial6,Chamber1,,,Sound 1,24,20.3,3.93,67.67,18.2,0,709
220606_11,VF070522_113942,day0_trial6,Chamber1,,,Sound 2,18,22.767,4.41,75.89,6.08,0,124
220606_11,VF070522_113942,day0_trial6,Chamber1,,,Sound 3,3,29.9,5.79,99.67,0.21,0,22
220606_11,VF070522_113942,day0_trial6,Chamber1,,,Shock 1,0,0,0,0,188.43,0,728
220606_11,VF070522_113942,day0_trial6,Chamber1,,,Shock 2,0,0,0,0,389.03,0,2213
220606_11,VF070522_113942,day0_trial6,Chamber1,,,Shock 3,0,0,0,0,370.43,0,1601
,,,,,,,,,,,,,
220606_12,VF070522_113942,day0_trial6,Chamber 2,,,Sound 1,0,0,0,0,298.64,1,1430
